Work_Title,ToposText_Ancient_Site,Latitude_Vector,Longitude_Vector,Overlapping_Themes,Greek_Keywords,Greek_Context_Snippet,Perseus_Web_URL,GitHub_Data_Link
Philostorgius: Historia ecclesiastica (fragmenta ap. Photium),Unknown Ancient Site,0.0,0.0,orgia | ios,ὄργια (Ecstatic Acts) | ἰός (Noun / Dual Penetration),"... Μυσὸς τὸ γένος τῶν πρὸς τῷ Ἴστρῳ κατῳκημένων, οὓς ἀγχεμάχους Ὅμηρος καλεῖ. τὸν τοιοῦτον Λεόντιον προσεταιρίζεται ὁ κακόφρων Φιλοστόργιος έν τῇ βίβλῳ αὐτοῦ ὡς ὁμόφρονα Ἀρειανικῆς αὐτοῦ κακοφροσύνης. ὃς παῖδα ἕνα ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:7.6a,https://github.com
Philostorgius: Historia ecclesiastica (fragmenta ap. Photium),Unknown Ancient Site,0.0,0.0,orgia | ios,ὄργια (Ecstatic Acts) | ἰός (Noun / Dual Penetration),"... τῇ Αἰγύπτῳ τὸ αὐτῶν διέσωζε φρόνημα, τοῖς ἀμφὶ Σέρραν τε καὶ Στέφανον καὶ Ἡλιόδωρον ἔμελεν. Τούτους μὲν οὖν ἅπαντας ὁ Φιλοστοόργιος ἐπαίνοις οὐκ ἔχει κόρον διακοσμεῖμ, τήν τε δύναμιν τῶν λόγων ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:8.2,https://github.com
Philostorgius: Historia ecclesiastica (fragmenta ap. Photium),Unknown Ancient Site,0.0,0.0,orgia | ios,ὄργια (Ecstatic Acts) | ἰός (Noun / Dual Penetration),"... 1143, 11 = Suidg.; dasselbe wie Suidg. im Cod. Mosqu. 65 (s. Prolegomena) = Mosqu.]: Τοῦ δέ γε Ἀπολιναρίου καὶ Φιλοστόργιος μνήμην τῇ κατ’ αὐτὸν ἱστορίᾳ καί φησιν· Ἀπολινάριος γὰρ ἤκμαζε ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:8.11a,https://github.com
Philostorgius: Historia ecclesiastica (fragmenta ap. Photium),Unknown Ancient Site,0.0,0.0,orgia | ios,ὄργια (Ecstatic Acts) | ἰός (Noun / Dual Penetration),"... διεδίδοσαν, διὰ πάντων ᾕρουν εἰς τὴν ἑαυτῶν κοινωνίαν τοὺς καθ᾿ ὁτιοῦν αὐτῶν ἁλίσκεσθαι δυναμένους. Τοσαῦτα περὶ αὐτῶν ὡς ἐν παραδρομῇ Φιλοστόργιος ὁ Ἀρειανὸς εγραψεν. 8 τοῦ — ἀπολιναρίου Mosqu. | Ἀπολιναρίῳ ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:8.11a,https://github.com
Philostorgius: Historia ecclesiastica (fragmenta ap. Photium),Unknown Ancient Site,0.0,0.0,orgia | ios,ὄργια (Ecstatic Acts) | ἰός (Noun / Dual Penetration),"... ἐπισκόπου συνετάξατο. ἐκεῖθεν δὲ εἰς τοὺς ἑαυτοῦ ε διάγειν ἀγροὺς ἀφείθη· Δακοροηνοὶ δὲ τοῖς τὸ ὄνομα. ἐνταῦθα δὲ αὐτόν φησι καὶ Φιλοστόργιος, εἰκοστὸν ἔτος ἄγων ἐν Κωνσταντινουπόλει παραγεγονώς, θεάσασθαι. ὑπερθειάζει τὸν ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:10.6,https://github.com
Philostorgius: Historia ecclesiastica (fragmenta ap. Photium),Unknown Ancient Site,0.0,0.0,orgia | ios,ὄργια (Ecstatic Acts) | ἰός (Noun / Dual Penetration),"... καὶ † ἡ ed. | 26 ἐνήκμασε ed. | μετῆλθε ed. 12. Ὅτι τῆς τετράδος καὶ παρασκευῆς τὴν νηστείαν ὁ Φιλοστόργιός Phot. φησι οὐκ ἐν μόνῃ τῇ τῶν κρεῶν ἀποχῇ περιορίζεσθαι, ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:10.12,https://github.com
Philostorgius: Historia ecclesiastica (fragmenta ap. Photium),Unknown Ancient Site,0.0,0.0,orgia | ios,ὄργια (Ecstatic Acts) | ἰός (Noun / Dual Penetration),"... παντιχχῖον, ιχ am Zeilenende, B παντ [leerer Raum eines Buchstabens] χῖον Μ Παντείχιον Nie. Ι Αὐρηλιανὸς Reading = Nie. Ἀλλ’ ὁ μὲν φιλοστόργιος ταῦτα περὶ Εὐτροπίου λέγει· λέγει· ἔτεροι Phot. δὲ ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:11.6,https://github.com
Hippocrates: De affectionibus interioribus,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... οἷσι κατὰ τὸ πρόσθεν· καὶ κατ’ ἀρχὰς τῆς νούσου δεῖ τε καθῆραι καὶ πρὸ τῆς ὑποκαθάρσιος πυριῆσαι· καὶ τοῖσι λουτροῖσι. μὴ πυκινὰ λουέσθω, ἀλειφέσθω δὲ μᾶλλον, μηδὲ ῥιγούτω, καὶ τοῦ ἡλίου ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:17.1,https://github.comCos
Hippocrates: De natura pueri,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... ἔπειτα δὲ, ὡς ἂν πλειόνων πειρένωνται τόκων, ἔτι μᾶλλον καταῤῥήγνυται διακενουμένων τῶν φλεβῶν ὑπὸ τῆς καθάρσιος τῶν λοχίων. Ταῦτα δέ μοι ἐς τοῦτο εἴρηται. 31. Δίδυμα δὲ γίνεται ἀφ’ ἑνὸς λαγνεύματος ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:30.1,https://github.comCos
Galen: In Hippocratis Aphorismos,Rome / Pergamum,41.9028,12.4964,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),... καὶ τὴν λύγγα πέφυκεν ἰᾶσθαι. Γυναικὶ καταμήνια ἄχροα καὶ μὴ κατὰ τὰ αὐτὰ ἀεὶ γινόμενα καθάρσιος δεῖσθαι σημαίνει. Πολλὰ τῶν ἀντιγράφων βιβλία ἔστιν εὑρεῖν οὕτως ἔχοντα τὴν λέξιν· γυναικὶ καταμήνια χρόνια ...,https://perseus.org:tlg0006.tlg003.perseus-grc1:36.1,https://github.comRome
Hippocrates: De ulceribus,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... ἔλαιον, οὐδὲ μαλθακώδεα οὐδὲ στεατώδεα φάρμακα, ἄλλως τε καὶ ὅ τι ἂν δέηται ἕλκος πλείονος καθάρσιος· τὸ δὲ ξύμπαν εἰπεῖν, ἐλαίῳ τὴν χρῆσιν ποιέεσθαι καὶ ἐν θέρει καὶ ἐν χειμῶνι, πρὸς ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:2.1,https://github.comCos
Hippocrates (Pseudo): Ἑρμηνεία περὶ ἐνεργῶν λίθων,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... κεῖνα ὅπου ( f. 341 r. ) σούρνου εἰς τὸ ἄσπρον· εἶναι χρεία νὰ εἶναι καθάριος, καὶ ἔναι λαμπρὰ κλόρου· καὶ νὰ ἐγνωρίσῃς ἂν ἔναι φίνα, καὶ ἔχει τὴν αὐτὴν βερτοῦδα, ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:1.4,https://github.comCos
Cyrillus Alexandrinus: De adoratione et cultu in spiritu et ueritate,Alexandria,31.2001,29.9187,mysterion | christing_active | christa,χριστά (Technical Class) | χρίω (Aorist Active) | μυστήριον (Ritual Rite),"... στοιχεῖα τῆς ἀρχῆς τῶν λογίων τοῦ θεοῦ. εἰ δὴ παρωσαίμεθα τὸν παιδαγωγόν, τίς ἡμᾶς ἔτι διακομιεῖ πρὸς τὸ Χριστοῦ μυστήριον; καὶ εἰ παραιτοίμεθα τὸ μαθεῖν τὰ στοιχεῖα τῆς ἀρχῆς τῶν λογίων ...",https://uni-goettingen.depta0005.pta001.pta/greek,https://github.comAlexandria
Hippocrates: De superfoetatione,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... τοῦ ὀθονίου, ὀσφρανθῆναι παρεχέτω τινὶ τὴν αὐτῆς κορυφήν· καὶ ἢν μὲν ὀζέσῃ, καλῶς ἔχει τῆς καθάρσιος· ἢν δὲ μὴ, κακῶς· ἄσιτος δὲ ταῦτα ποιείτω. Καὶ ἢν μὴ τεκνοῦσα ἦ, οὐδέποτε ὀζέσει, ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:25.1,https://github.comCos
Hippocrates: De superfoetatione,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... ἤν τε ἄνω μοῦνον· καὶ ἢν μὲν ἄνω διδῷς τὸ φάρμακον, μὴ πυριῇν πρότερον τῆς καθάρσιος· πυριήσας δὲ μεταπῖσαι κάτω· ἢν δὲ μὴ δοκέῃ δεῖσθαι ἀνωτερικοῦ, προπυριήσας, κάτω πῖσαι. Ὅταν δὲ ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:29.1,https://github.comCos
Hippocrates: De superfoetatione,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... κάτω· ἢν δὲ μὴ δοκέῃ δεῖσθαι ἀνωτερικοῦ, προπυριήσας, κάτω πῖσαι. Ὅταν δὲ δοκέῃ καλῶς ἔχειν καθάρσιος τὸ σῶμα, μετὰ τοῦτο πυριῇν τὰς μήτρας, ἐγκαθίζοντα αὐτὰς πυκνὰ ἐν ὅτῳ ἂν δοκέῃ ξυμφέρειν· ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:29.1,https://github.comCos
Hippocrates: De superfoetatione,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... τὸν χρόνον. Μετὰ δὲ τοῦτο, ἢν μὲν χωρέῃ κατὰ τὸν στόμαχον καὶ φαίνηταί τι ἔξω καθάρσιος, πίνειν τε ἔτι τοῦ πόματος ἡμέρην μίην καὶ δύο, καὶ τῇσι μήλῃσι παύεσθαι χρεομένους, καὶ ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:29.1,https://github.comCos
