Work_Title,ToposText_Ancient_Site,Latitude_Vector,Longitude_Vector,Overlapping_Themes,Greek_Keywords,Greek_Context_Snippet,Perseus_Web_URL,GitHub_Data_Link
Catenae (Novum Testamentum): Catena In Lucam,Alexandria / Byzantium,41.0082,28.9784,mysterion | christing_active | christa,χριστά (Technical Class) | χρίω (Aorist Active) | μυστήριον (Ritual Rite),"... αὐτόν. ἦν μὲν γὰρ ὁ νόμος ἐν σκιᾷ καὶ τύπῳ, πλὴν οἱ τύποι διαμορφοῦσι τὴν ἀλήθειαν καὶ γράφουσιν αἱ σκιαὶ πολυτρόπως ἡμῖν τὸ Χριστοῦ μυστήριον. μόνος ἐσφάζετο κατὰ τὸν τοῦ Μωϋσέως ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:43.1,https://github.comByzantium
Catenae (Novum Testamentum): Catena In Epistulam Ad Hebraeos,Alexandria / Byzantium,41.0082,28.9784,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... διὰ τοῦ Πνεύματος λαβεῖν τὴν πίστιν εἰς ἀνάστασιν νεκρῶν, καὶ κρίματος αἰωνίου; τι δέ ἐστιν ἀρχή; οὐδὲν ἄλλο ἣ τοῦτο· ἀρχὴν δέ φησιν, ὅταν μὴ βίος καθαρὸς παρῇ· καθάπερ γὰρ τὸν ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:7.1,https://github.comByzantium
>Catenae (Novum Testamentum): Catena In Epistulam I Ad Timotheum,Alexandria / Byzantium,41.0082,28.9784,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... ἡμῖν ἐχαρίσατο· “ πίστιν,” φησὶ, “ καὶ ἀγαθὴν συνείδησιν·” εἰ μὴ αὐτὸς ἦλθεν, οὔτε ἡ πίστις αὕτη ηὑρίσκετο, οὔτε ὁ βίος ὁ καθαρός· ὡσανεὶ ἔλεγεν, οὐχὶ ἐγώ εἰμι ὁ παραγγέλλων, ἀλλ’ ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:3.1,https://github.comByzantium
Chronicon Paschale: Chronicon Paschale,Constantinople,41.0082,28.9784,mysterion | christing_active | christa,χριστά (Technical Class) | χρίω (Aorist Active) | μυστήριον (Ritual Rite),"... tenebras, et luna in sanguinem, antequam veniat dies Domini magna et manifesta. Et erit, qui invocaverit nomen Domini, salvus erit. Hujus sententiae meminit beatus Petrus in Actis Apostolorum, tunc Πράξεσι τῶν ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:2.1,https://github.comByzantium
