File,Target_Field,Matched_String,Coordinate,Context_Snapshot
epiphanius_panarion_raw.txt,extraction_gathering,συλλεγόμενον,333,"...οὕτω δὲ καὶ τὸ γυναικεῖον ὅταν γένηται ἐν τῇ ἐκκρίσει τοῦ αἵματος, τὸ αἷμα τῆς ἐμμήνου καθάρσεως τὸ συλλεγόμενον ἐκ τῆς γυναικὸς ἀπὸ τῆς μιανθείσης, συλλέγοντες κατὰ ταὐτὸν ἐσθίουσι κοινῇ, καὶ τοῦτό ἐστι τὸ αἷμα..."
clement_stromata_1.txt,hyssop_purgative,πλυνεῖς,313,"...οὐ μὴν ἀλλά γε τῷ γράφοντι αὐτῷ ἀναγκαῖος εἰς ἀναζωπύρησιν... Ὑσσώπῳ με ῥανεῖς, καὶ καθαρισθήσομαι· πλυνεῖς με, καὶ ὑπὲρ χιόνα λευκανθήσομαι· ἀκουτιεῖς με ἀγαλλίασιν καὶ εὐφροσύνην......"
