Work_Title,ToposText_Ancient_Site,Latitude_Vector,Longitude_Vector,Overlapping_Themes,Greek_Keywords,Greek_Context_Snippet,Perseus_Web_URL,GitHub_Data_Link
Hippocrates: De muliebribus,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... δὲ πνὶξ προσπεσεῖται ἰσχυρὴ, καὶ πρὸ τῶν ὀφθαλμῶν ζόφος ἔσται οἱ καὶ δῖνος, οἷα τῆς καθάρσιος ἄνω στελλομένης καὶ ἀνιούσης. Ἢν γὰρ τὸ σῶμα φλαύρως ἔχῃ, γυναικὶ τὰ καταμήνια ἐλάσσονα γίνεται, ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:8.1,https://github.comCos
Hippocrates: De muliebribus,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... χρόνος προΐῃ, ὡς ἐπιτοπλέον καὶ ἡ νοῦσος ὀξέη γίνεται, καὶ αἱ μῆτραι δάκνονται ὑπὸ τῆς καθάρσιος τῆς χολώδεος χωρεούσης καὶ ἑλκοῦνται. Ἔτι δὲ καὶ ἐν τούτῳ ὑγιαίνει μελεδαινομένη, ἤν οἱ ἑρχθῇ ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:8.1,https://github.comCos
Hippocrates: De muliebribus,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... καὶ τὸ σῶμα ἅπαν ἔνυγρον ὄν. Τουτέων ἕκαστα γινώσκειν ὧδε χρή. 11. Ὁκοίης δὲ χρῄζει καθάρσιος, γνώσῃ ὧδε· ὅταν τὰ ἐπιμήνια γίνηται, ῥάκος πτύξας ὅσον σπιθαμῆς, ἐπιτανύσαι ἐπὶ σποδιὴν λεπτήν· κἄπειτα ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:11.1,https://github.comCos
Hippocrates: De muliebribus,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... ὑποπέλιδνα. Ταῦτ’ οὖν ἐσιδὼν, καὶ γνώμῃ σκεθρῇ βασανίσας, ὅλον τὸ σῶμα ἀθρέειν, ἤν τε πολλῆς καθάρσιος δοκέῃ δεῖσθαι, ἤν τε μὴ, ἀποσκεψάμενος ἐς τὴν χροιὴν καὶ τὴν ἡλικίην καὶ ῥώμην καὶ ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:11.1,https://github.comCos
Hippocrates: De muliebribus,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... καὶ τἄλλα ποιέειν κατὰ τὸν ὑφηγημένον λόγον. Ὅταν ἀνεστομωμέναι μᾶλλον τοῦ δέοντος αἱ ὑστέραι ἔωσι, καθάρσιος δέονται· μετὰ δὲ τὰς καθάρσιας, κλυσμῶν καὶ θυμιημάτων. Ἢν δὲ ἐγγύτερον ἔωσι τοῦ δέοντος, ἐμέτων ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:13.1,https://github.comCos
Hippocrates: De muliebribus,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... ἡμέρην καὶ εὐφρόνην, καὶ ἤν σοι δοκέῃ κεκαθάρθαι, ἄμεινον ἐᾷν· ἢν δὲ δοκέῃ ἔτι δέεσθαι καθάρσιος, δύο ἡμέρας διαλείπειν, καὶ αὖθις τὸ ξὺν τῇ σικύῃ ἡμέρην καὶ εὐφρόνην προστιθέναι· κἄπειτα νέτωπον ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:37.1,https://github.comCos
Hippocrates: De muliebribus,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... ἡλκωμένα ἐόντα. Καὶ θίξις γίνεται καὶ μύκης, ὃς ἄμφω τὰ χείλεα ἔχει ξυνδήσας, ἅτε τῆς καθάρσιος ἀπολελαμμένης· εἰ δὲ ἐχώρεεν ἡ καθαρσις, οὐκ ἂν ἐμυκώθη τὰ ἕλκεα· νῦν δὲ ἐπιῤῥεῖ, καὶ ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:40.1,https://github.comCos
Hippocrates: De muliebribus,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... ᾖ ἐλλεβόρου δύο πόσιας ἐν οἴνῳ διιέναι γλυκεῖ, ὅσον δύο κοτύλας, καὶ κλύζειν μίσγοντα. Ἢν καθάρσιος δέηται, πράσα δεῖ ἑψεῖν, ἢ ἀκτῆς καρπὸν, ἢ ἄννησον, λιβανωτὸν, σμύρναν, οἶνον, ταῦτα πάντα τρίβειν, ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:82.1,https://github.comCos
Hippocrates: De muliebribus,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... ἔτι ἰσχυρὴν ἐοῦσαν λαμβάνῃς, ἀποσκεψάμενος ἐς τὸ ἄλλο σῶμα φαρμακεύειν, ὁκοίης ἄν τινος δοκέῃ δεῖσθαι καθάρσιος· ὁκόταν δὲ καταστήσῃς τὸ σῶμα, οὕτως ἰέναι ἐς τὴν τῶν ὑστερέων θεραπείην. Ἢν δὲ μηδὲν ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:133.1,https://github.comCos
Hippocrates: De muliebribus,Cos Asclepieion,36.8914,27.2872,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... λουσαμένη, ἐλάφου στέαρ τήξασα καὶ εἰς εἴριον μαλθακὸν ἀναφυρήσασα προστιθέσθω. Καὶ ἤν σοι δοκέῃ ἔτι καθάρσιος δεῖσθαι, διαλιπὼν τρεῖς ἡμέρας, προστιθέναι τὸ ξὺν τῷ ναρκισσίνῳ· τῇ δὲ ὑστεραίῃ τὸ νέτωπον· ἔπειτα ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:157.1,https://github.comCos
