Work_Title,ToposText_Ancient_Site,Latitude_Vector,Longitude_Vector,Overlapping_Themes,Greek_Keywords,Greek_Context_Snippet,Perseus_Web_URL,GitHub_Data_Link,Temporal_Tier
Galen: De compositione medicamentorum secundum locos,Rome / Pergamum,41.9028,12.4964,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... φαίην ἂν πρὸς αὐτὸν οὐχ ὅπως ἐπὶ πολλὰς ἡμέρας, ἀλλ’ οὐδεμιᾷ μόνῃ δύναιτο ἂν ἀνασχέσθαι καθάριος ἄνθρωπος ἐπιχεομένου αὐτοῦ κατὰ τῆς κεφαλῆς οὔρου οὐδενὸς ζώου τοιούτου, καὶ ταῦτα ἐπὶ παθήματος οὕτω ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:9.1,https://github.comRome,Tier 2: Roman Imperial Peak (1st-2nd C. CE)
Galen: De compositione medicamentorum secundum locos,Rome / Pergamum,41.9028,12.4964,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),... τε τῇ σκευασίᾳ καὶ τῇ δυνάμει. ἤ χοίρου πνεύμονα θερμὸν ἐπιτίθει. οὐκ ἄν τις ἀνάσχοιτο καθάριος ἀνὴρ τοιούτου βοηθήματος. ἢ μυρίκης ἀφεψήματι πρόσκλυζε. οὐ πρὸ πολλοῦ περὶ μυρίκης δυνάμεως εἴρηται. ἢ ...,https://perseus.org:tlg0006.tlg003.perseus-grc1:1.1,https://github.comRome,Tier 2: Roman Imperial Peak (1st-2nd C. CE)
Galen: In Hippocratis Aphorismos,Rome / Pergamum,41.9028,12.4964,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),... καὶ τὴν λύγγα πέφυκεν ἰᾶσθαι. Γυναικὶ καταμήνια ἄχροα καὶ μὴ κατὰ τὰ αὐτὰ ἀεὶ γινόμενα καθάρσιος δεῖσθαι σημαίνει. Πολλὰ τῶν ἀντιγράφων βιβλία ἔστιν εὑρεῖν οὕτως ἔχοντα τὴν λέξιν· γυναικὶ καταμήνια χρόνια ...,https://perseus.org:tlg0006.tlg003.perseus-grc1:36.1,https://github.comRome,Tier 1: Classical Antiquity (5th-4th C. BCE)
Porphyrius: Historia philosophiae (fragmenta),Unknown Ancient Site,0.0,0.0,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... τοῦτο πρὸς σοφίαν, πρὸς ὀλίγον γε χρόνον ἐργασθέν. εἰ δὲ δὴ ἑρμογλύφος ἦν, καὶ μᾶλλον· καθάρειος γὰρ ἡ τέχνη καὶ οὐ πρὸς ὀνείδους.“ καὶ μεθʼ ἕτερα· δημιουργὸν γὰρ γε– νέσθαι τὸν ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:10.1,https://github.com,Tier 3: Late Antiquity (3rd-5th C. CE)
Cebes: Cebetis tabula,Unknown Ancient Site,0.0,0.0,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),"... Καὶ μάλα, ἔφην ἐγώ. Οὐκοῦν ἔξω τοῦ περιβόλου παρὰ τὴν εἴσοδον γυνή τις ἕστηκεν, ἣ δοκεῖ πάνυ καθάριος καὶ εὔτακτος εἶναι; Καὶ μάλα. Ταύτην τοίνυν οἱ πολλοὶ καὶ εἰκαῖοι τῶν ἀνδρῶν ...",https://perseus.org:tlg0006.tlg003.perseus-grc1:12.2,https://github.com,Tier 2: Roman Imperial Peak (1st-2nd C. CE)
Artemidorus: Onirocriticon,Unknown Ancient Site,0.0,0.0,ios | katharsis,κάθαρσις (Purification Noun) | ἰός (Noun / Dual Penetration),... αὐτὴν λύκων εἶναι φθαρτικήν. ἀγαθὴ δʼ ἂν εἴη πᾶσι τοῖς ἐν φροντίδι καὶ λύπῃ οὖσι· καθάρσιος γὰρ εἶναι νενόμισται· τοῖς δέ εὖ πράττουσι δειμάτων ἐπαγωγὸς καὶ φροντίδων οὖσα τετήρηται· οὐ γὰρ ...,https://perseus.org:tlg0006.tlg003.perseus-grc1:1.50,https://github.com,Tier 2: Roman Imperial Peak (1st-2nd C. CE)
